	code	latitude	longitude	elevation	location	datetime
272	LRTI	-8.2752	123.0	53.0	Station LRTI	2013-01-01T00:00:00
273	LSCM	-4.365	119.8987	109.0	Type MR, Lalabati Rilau,Soppeng,Sulawesi Selatan	2019-01-01T00:00:00
274	LSJR	-7.1312	106.69216	592.0	REIS Lengkong	2018-01-02T00:00:00
275	LSNI	-8.96	117.18	0.0	Lunyuk,  Sumbawa,  Nusat  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
276	LSSN	-2.6144	121.10245	112.0	Noncollocated_DS(Seismotek) Luwu Timur	2020-12-03T00:00:00
277	LTNI	-8.75	116.48	0.0	Lombok  Timur,  Nusa  Tenggara  Barat,  Indonesia	2021-11-26T00:00:00
278	LTNSI	1.336	97.32	52.0	Lahewa Timur, Nias Utara, Sumatera Utara	2022-09-22T07:45:29.525
279	LTSM	1.52936	98.9305	5.0	Type MR, Lumut,Tapanuli Tengah,Sumatera Utara	2019-01-01T00:00:00
280	LUCM	-1.4262	120.3225	1102.0	Type MR, Lore Utara,Poso,Sulawesi Tengah	2019-01-01T00:00:00
281	LUJI	-7.826	113.0107	665.0	Station Type B Lumbang,Pasuruan,Jawa Timur	2019-01-01T00:00:00
282	LUWI	-1.0418	122.7717	6.0	GEOFON Station Luwuk, Sulawesi, Indonesia	2008-03-10T00:00:00
283	LWLI	-5.0175	104.0589	938.05	Station Liwa, Sumatra	2007-01-01T00:00:00
284	MABKI	2.2433	118.5676	20.0	Maratua, Berau, Kalimantan Timur	2023-12-20T15:00:00
285	MAKBI	-8.487	115.505	86.0	Manggis, Karangasem, Bali	2022-09-22T07:45:29.525
286	MAKKI	-1.582298	108.796982	39.2	Kep. Karimata, Kayong Utara, Kalimantan Barat	2023-12-29T11:00:00
287	MASFI	-8.537	122.032	13.0	Magepanda, Sikka, Nusa Tenggara Timur	2023-07-17T07:45:29.525
288	MASI	-3.1415	102.2396	384.5	Station Muara Aman, Bengkulu, Indonesia (BMKG)	2009-01-01T00:00:00
289	MASM	5.29847	95.59667	82.0	Type MR, Masjid Raya,Aceh Besar,Aceh	2019-01-01T00:00:00
290	MASSI	4.733	125.479	105.0	Marore, Kepulauan Sangihe, Sulawesi Utara	2023-08-19T07:45:29.525
291	MBBI	-1.5406	102.0984	113.0	Station Type B Muara Bungo,Bungo,Jambi	2019-01-01T00:00:00
292	MBJI	-7.44892	109.63243	352.0	Station Majalengka Banjarnegara Jawa Indonesia	2018-10-22T00:00:00
293	MBPI	-2.035	133.7322	57.0	Station Type A, Manimeri,Teluk Bintuni,Papua Barat	2019-01-01T00:00:00
294	MBRPI	-1.771	130.407	2.0	Misool Barat, Raja Ampat, Papua Barat	2023-08-09T07:45:29.525
295	MBSI	-3.7611	102.2714	28.05	Station University, Bengkulu, Indonesia (BMKG)	2008-01-01T00:00:00
296	MBSM	-3.1451	101.8374	37.0	Type MR, Marga Sakti Seblat ,Bengkulu Utara,Bengkulu	2019-01-01T00:00:00
297	MBSR	-4.44095	102.89383	15.0	REIS Manna	2018-01-02T00:00:00
298	MDSI	-4.4861	104.1783	111.0	Station Muara Dua, Sumatra	2008-01-01T00:00:00
299	MGAI	4.0079	126.67	91.0	Station MGAI	2013-01-01T00:00:00
300	MGJR	-7.4098	107.6916	753.0	REIS Pamulihan	2018-01-02T00:00:00
301	MIBPI	-5.879	140.709	51.0	Mindiptana, Boven Digoel, Papua	2022-09-22T07:45:29.525
